Periodo,1.Precio de la gasolina en EE.UU. (dólares/m3),2.Precio de la onza troy de oro (dólares/oz),3.Precio de la onza troy de plata (dólares/oz),4.Precio del cobre refinado BML (dólares/libra),5.Precio del diesel  (centavos de dólar/galón),6.Precio del gas  natural   (dólares/millón de unidades térmicas británicas),7.Precio del kerosene (dólares/m3),8.Precio del petróleo Brent (dólares/barril),9.Precio del petróleo WTI (dólares/barril),10.Precio del propano (centavos de dólar/galón)     DTN
Jan-1948,,34.71,,,,,,,,
Feb-1948,,34.71,,,,,,,,
Mar-1948,,34.71,,,,,,,,
Apr-1948,,34.71,,,,,,,,
May-1948,,34.71,,,,,,,,
Jun-1948,,34.71,,,,,,,,
Jul-1948,,34.71,,,,,,,,
Aug-1948,,34.71,,,,,,,,
Sep-1948,,34.71,,,,,,,,
Oct-1948,,34.71,,,,,,,,
Nov-1948,,34.71,,,,,,,,
Dec-1948,,34.71,,,,,,,,
Jan-1949,,34.69,,,,,,,,
Feb-1949,,34.69,,,,,,,,
Mar-1949,,34.69,,,,,,,,
Apr-1949,,34.69,,,,,,,,
May-1949,,34.69,,,,,,,,
Jun-1949,,34.69,,,,,,,,
Jul-1949,,34.69,,,,,,,,
Aug-1949,,34.69,,,,,,,,
Sep-1949,,34.69,,,,,,,,
Oct-1949,,34.69,,,,,,,,
Nov-1949,,34.69,,,,,,,,
Dec-1949,,34.69,,,,,,,,
Jan-1950,,34.72,0.73,,,,,,,
Feb-1950,,34.72,0.73,,,,,,,
Mar-1950,,34.72,0.73,,,,,,,
Apr-1950,,34.72,0.72,,,,,,,
May-1950,,34.72,0.73,,,,,,,
Jun-1950,,34.72,0.73,,,,,,,
Jul-1950,,34.72,0.73,,,,,,,
Aug-1950,,34.72,0.73,,,,,,,
Sep-1950,,34.72,0.73,,,,,,,
Oct-1950,,34.72,0.75,,,,,,,
Nov-1950,,34.72,0.80,,,,,,,
Dec-1950,,34.72,0.80,,,,,,,
Jan-1951,,34.72,0.89,,,,,,,
Feb-1951,,34.72,0.90,,,,,,,
Mar-1951,,34.72,0.90,,,,,,,
Apr-1951,,34.72,0.90,,,,,,,
May-1951,,34.72,0.90,,,,,,,
Jun-1951,,34.72,0.88,,,,,,,
Jul-1951,,34.72,0.90,,,,,,,
Aug-1951,,34.72,0.90,,,,,,,
Sep-1951,,34.72,0.90,,,,,,,
Oct-1951,,34.72,0.88,,,,,,,
Nov-1951,,34.72,0.88,,,,,,,
Dec-1951,,34.72,0.88,,,,,,,
Jan-1952,,34.60,0.88,,,,,,,
Feb-1952,,34.60,0.88,,,,,,,
Mar-1952,,34.60,0.88,,,,,,,
Apr-1952,,34.60,0.88,,,,,,,
May-1952,,34.60,0.85,,,,,,,
Jun-1952,,34.60,0.83,,,,,,,
Jul-1952,,34.60,0.83,,,,,,,
Aug-1952,,34.60,0.83,,,,,,,
Sep-1952,,34.60,0.83,,,,,,,
Oct-1952,,34.60,0.83,,,,,,,
Nov-1952,,34.60,0.83,,,,,,,
Dec-1952,,34.60,0.83,,,,,,,
Jan-1953,,34.84,0.85,,,,,,,
Feb-1953,,34.84,0.85,,,,,,,
Mar-1953,,34.84,0.85,,,,,,,
Apr-1953,,34.84,0.85,,,,,,,
May-1953,,34.84,0.85,,,,,,,
Jun-1953,,34.84,0.85,,,,,,,
Jul-1953,,34.84,0.85,,,,,,,
Aug-1953,,34.84,0.85,,,,,,,
Sep-1953,,34.84,0.85,,,,,,,
Oct-1953,,34.84,0.85,,,,,,,
Nov-1953,,34.84,0.85,,,,,,,
Dec-1953,,34.84,0.85,,,,,,,
Jan-1954,,35.04,0.85,,,,,,,
Feb-1954,,35.04,0.85,,,,,,,
Mar-1954,,35.04,0.85,,,,,,,
Apr-1954,,35.04,0.85,,,,,,,
May-1954,,35.04,0.85,,,,,,,
Jun-1954,,35.04,0.85,,,,,,,
Jul-1954,,35.04,0.85,,,,,,,
Aug-1954,,35.04,0.85,,,,,,,
Sep-1954,,35.04,0.85,,,,,,,
Oct-1954,,35.04,0.85,,,,,,,
Nov-1954,,35.04,0.85,,,,,,,
Dec-1954,,35.04,0.85,,,,,,,
Jan-1955,,35.03,0.85,,,,,,,
Feb-1955,,35.03,0.85,,,,,,,
Mar-1955,,35.03,0.87,,,,,,,
Apr-1955,,35.03,0.87,,,,,,,
May-1955,,35.03,0.89,,,,,,,
Jun-1955,,35.03,0.90,,,,,,,
Jul-1955,,35.03,0.90,,,,,,,
Aug-1955,,35.03,0.91,,,,,,,
Sep-1955,,35.03,0.91,,,,,,,
Oct-1955,,35.03,0.92,,,,,,,
Nov-1955,,35.03,0.92,,,,,,,
Dec-1955,,35.03,0.90,,,,,,,
Jan-1956,,34.99,0.90,,,,,,,
Feb-1956,,34.99,0.91,,,,,,,
Mar-1956,,34.99,0.91,,,,,,,
Apr-1956,,34.99,0.91,,,,,,,
May-1956,,34.99,0.91,,,,,,,
Jun-1956,,34.99,0.90,,,,,,,
Jul-1956,,34.99,0.90,,,,,,,
Aug-1956,,34.99,0.91,,,,,,,
Sep-1956,,34.99,0.91,,,,,,,
Oct-1956,,34.99,0.91,,,,,,,
Nov-1956,,34.99,0.91,,,,,,,
Dec-1956,,34.99,0.91,,,,,,,
Jan-1957,,34.95,0.91,,,,,,,
Feb-1957,,34.95,0.91,,,,,,,
Mar-1957,,34.95,0.91,,,,,,,
Apr-1957,,34.95,0.91,,,,,,,
May-1957,,34.95,0.91,,,,,,,
Jun-1957,,34.95,0.90,,,,,,,
Jul-1957,,34.95,0.90,,,,,,,
Aug-1957,,34.95,0.91,,,,,,,
Sep-1957,,34.95,0.91,,,,,,,
Oct-1957,,34.95,0.91,,,,,,,
Nov-1957,,34.95,0.90,,,,,,,
Dec-1957,,34.95,0.90,,,,,,,
Jan-1958,,35.10,0.89,,,,,,,
Feb-1958,,35.10,0.89,,,,,,,
Mar-1958,,35.10,0.89,,,,,,,
Apr-1958,,35.10,0.89,,,,,,,
May-1958,,35.10,0.89,,,,,,,
Jun-1958,,35.10,0.89,,,,,,,
Jul-1958,,35.10,0.89,,,,,,,
Aug-1958,,35.10,0.89,,,,,,,
Sep-1958,,35.10,0.89,,,,,,,
Oct-1958,,35.10,0.90,,,,,,,
Nov-1958,,35.10,0.90,,,,,,,
Dec-1958,,35.10,0.90,,,,,,,
Jan-1959,,35.10,0.90,,,,,,,
Feb-1959,,35.10,0.90,,,,,,,
Mar-1959,,35.10,0.91,,,,,,,
Apr-1959,,35.10,0.91,,,,,,,
May-1959,,35.10,0.91,,,,,,,
Jun-1959,,35.10,0.91,,,,,,,
Jul-1959,,35.10,0.91,,,,,,,
Aug-1959,,35.10,0.91,,,,,,,
Sep-1959,,35.10,0.91,,,,,,,
Oct-1959,,35.10,0.91,,,,,,,
Nov-1959,,35.10,0.91,,,,,,,
Dec-1959,,35.10,0.91,,,,,,,
Jan-1960,,35.27,0.91,0.33,,,,,,
Feb-1960,,35.27,0.91,0.33,,,,,,
Mar-1960,,35.27,0.91,0.32,,,,,,
Apr-1960,,35.27,0.91,0.33,,,,,,
May-1960,,35.27,0.91,0.31,,,,,,
Jun-1960,,35.27,0.91,0.31,,,,,,
Jul-1960,,35.27,0.91,0.32,,,,,,
Aug-1960,,35.27,0.91,0.31,,,,,,
Sep-1960,,35.27,0.91,0.29,,,,,,
Oct-1960,,35.27,0.91,0.28,,,,,,
Nov-1960,,35.27,0.91,0.28,,,,,,
Dec-1960,,35.27,0.91,0.29,,,,,,
Jan-1961,,35.25,0.91,0.28,,,,,,
Feb-1961,,35.25,0.91,0.28,,,,,,
Mar-1961,,35.25,0.91,0.28,,,,,,
Apr-1961,,35.25,0.91,0.29,,,,,,
May-1961,,35.25,0.91,0.30,,,,,,
Jun-1961,,35.25,0.91,0.30,,,,,,
Jul-1961,,35.25,0.91,0.29,,,,,,
Aug-1961,,35.25,0.91,0.29,,,,,,
Sep-1961,,35.25,0.91,0.29,,,,,,
Oct-1961,,35.25,0.91,0.29,,,,,,
Nov-1961,,35.25,0.92,0.29,,,,,,
Dec-1961,,35.25,1.03,0.29,,,,,,
Jan-1962,,35.23,1.04,0.29,,,,,,
Feb-1962,,35.23,1.03,0.29,,,,,,
Mar-1962,,35.23,1.02,0.29,,,,,,
Apr-1962,,35.23,1.02,0.29,,,,,,
May-1962,,35.23,1.02,0.29,,,,,,
Jun-1962,,35.23,1.02,0.29,,,,,,
Jul-1962,,35.23,1.04,0.29,,,,,,
Aug-1962,,35.23,1.08,0.29,,,,,,
Sep-1962,,35.23,1.15,0.29,,,,,,
Oct-1962,,35.23,1.21,0.29,,,,,,
Nov-1962,,35.23,1.19,0.29,,,,,,
Dec-1962,,35.23,1.20,0.29,,,,,,
Jan-1963,,35.09,1.24,0.29,,,,,,
